nominal, lapu, genrr, bitflip
5.353535353535353591e-01,5.080000000000000071e-01,5.380000000000000338e-01,5.560000000000000497e-01
5.454545454545455252e-01,5.130000000000000115e-01,5.500000000000000444e-01,5.699999999999999512e-01
5.555555555555555802e-01,5.210000000000000187e-01,5.679999999999999494e-01,5.749999999999999556e-01
5.656565656565657463e-01,5.270000000000000240e-01,5.839999999999999636e-01,5.859999999999999654e-01
5.757575757575758013e-01,5.360000000000000320e-01,5.989999999999999769e-01,5.929999999999999716e-01
5.858585858585858563e-01,5.450000000000000400e-01,6.079999999999999849e-01,6.089999999999999858e-01
5.959595959595960224e-01,5.560000000000000497e-01,6.260000000000000009e-01,6.159999999999999920e-01
6.060606060606060774e-01,5.689999999999999503e-01,6.360000000000000098e-01,6.270000000000000018e-01
6.161616161616162435e-01,5.769999999999999574e-01,6.460000000000000187e-01,6.450000000000000178e-01
6.262626262626262985e-01,5.879999999999999671e-01,6.580000000000000293e-01,6.520000000000000240e-01
6.363636363636364646e-01,5.999999999999999778e-01,6.660000000000000364e-01,6.590000000000000302e-01
6.464646464646465196e-01,6.079999999999999849e-01,6.740000000000000435e-01,6.670000000000000373e-01
6.565656565656565746e-01,6.209999999999999964e-01,6.810000000000000497e-01,6.750000000000000444e-01
6.666666666666667407e-01,6.370000000000000107e-01,6.949999999999999512e-01,6.850000000000000533e-01
6.767676767676767957e-01,6.580000000000000293e-01,7.079999999999999627e-01,6.989999999999999547e-01
6.868686868686869618e-01,6.640000000000000346e-01,7.169999999999999707e-01,7.139999999999999680e-01
6.969696969696970168e-01,6.770000000000000462e-01,7.269999999999999796e-01,7.279999999999999805e-01
7.070707070707071829e-01,6.969999999999999529e-01,7.319999999999999840e-01,7.349999999999999867e-01
7.171717171717172379e-01,7.059999999999999609e-01,7.389999999999999902e-01,7.489999999999999991e-01
7.272727272727272929e-01,7.159999999999999698e-01,7.489999999999999991e-01,7.570000000000000062e-01
7.373737373737374590e-01,7.259999999999999787e-01,7.590000000000000080e-01,7.660000000000000142e-01
