nominal, lapu, genrr, bitflip
8.080808080808081773e-01,7.830000000000000293e-01,7.830000000000000293e-01,8.549999999999999822e-01
8.181818181818182323e-01,7.940000000000000391e-01,7.920000000000000373e-01,8.659999999999999920e-01
8.282828282828283983e-01,8.030000000000000471e-01,8.050000000000000488e-01,8.790000000000000036e-01
8.383838383838384534e-01,8.139999999999999458e-01,8.189999999999999503e-01,8.880000000000000115e-01
8.484848484848485084e-01,8.249999999999999556e-01,8.389999999999999680e-01,8.950000000000000178e-01
8.585858585858586745e-01,8.319999999999999618e-01,8.469999999999999751e-01,9.040000000000000258e-01
8.686868686868687295e-01,8.399999999999999689e-01,8.599999999999999867e-01,9.100000000000000311e-01
8.787878787878788955e-01,8.499999999999999778e-01,8.729999999999999982e-01,9.170000000000000373e-01
8.888888888888889506e-01,8.649999999999999911e-01,8.860000000000000098e-01,9.210000000000000409e-01
8.989898989898991166e-01,8.750000000000000000e-01,8.980000000000000204e-01,9.320000000000000506e-01
9.090909090909091717e-01,8.850000000000000089e-01,9.100000000000000311e-01,9.419999999999999485e-01
9.191919191919192267e-01,8.980000000000000204e-01,9.210000000000000409e-01,9.499999999999999556e-01
9.292929292929293927e-01,9.140000000000000346e-01,9.300000000000000488e-01,9.559999999999999609e-01
9.393939393939394478e-01,9.280000000000000471e-01,9.469999999999999529e-01,9.639999999999999680e-01
9.494949494949496138e-01,9.429999999999999494e-01,9.659999999999999698e-01,9.739999999999999769e-01
9.595959595959596689e-01,9.579999999999999627e-01,9.739999999999999769e-01,9.779999999999999805e-01
9.696969696969697239e-01,9.649999999999999689e-01,9.829999999999999849e-01,9.839999999999999858e-01
9.797979797979798899e-01,9.759999999999999787e-01,9.869999999999999885e-01,9.889999999999999902e-01
9.898989898989899450e-01,9.839999999999999858e-01,9.949999999999999956e-01,9.929999999999999938e-01
1.000000000000000000e+00,9.959999999999999964e-01,1.000000000000000000e+00,1.000000000000000000e+00
